id,energy,valence,danceability,tempo,loudness,speechiness,acousticness,instrumentalness,liveness
1JSTJqkT5qHq8MDJnJbRE1,0.452,0.74,0.82,117.401,-9.796,0.0348,0.543,0.00294,0.0714
0X1sqQ652p1sceKM2nJlIJ,0.899,0.603,0.475,152.445,-4.321,0.0637,0.00375,1.91e-05,0.14
5fy4vfEtv6lzqLx2Mt7stF,0.86,0.284,0.544,127.129,-6.151,0.0489,0.206,0.00108,0.213
7wuJGgpTNzbUyn26IOY6rj,0.723,0.19,0.431,130.141,-5.887,0.0568,0.145,0.0,0.374
5dRQUolXAVX3BbCiIxmSsf,0.757,0.582,0.555,129.607,-7.868,0.0601,0.103,1.16e-06,0.0631
5luOvrlnzfvJQdQjrScVj4,0.952,0.765,0.633,95.423,-4.274,0.0338,0.0532,1.73e-06,0.989
56GbZVwxMdf1DENCluYS8A,0.752,0.358,0.435,80.854,-6.993,0.0421,0.00939,0.000204,0.0844
77NNZQSqzLNqh2A9JhLRkg,0.802,0.472,0.491,119.25,-7.106,0.0392,0.25,0.0,0.387
7Ewz6bJ97vUqk5HdkvguFQ,0.589,0.334,0.379,140.068,-7.315,0.027,0.0473,0.0,0.122
4uvjOKsp7mSjrDhWdkLPBY,0.723,0.94,0.752,130.519,-12.126,0.0507,0.025,0.00354,0.0212
5jzma6gCzYtKB1DbEwFZKH,0.801,0.776,0.651,133.769,-7.34,0.0514,0.123,0.0,0.0825
5jzma6gCzYtKB1DbEwFZKH,0.801,0.776,0.651,133.769,-7.34,0.0514,0.123,0.0,0.0825
3yDhZq8f17SmumVmEyCaRN,0.624,0.882,0.862,124.896,-11.63,0.0565,0.0192,0.000153,0.0465
2tUBqZG2AbRi7Q0BIrVrEj,0.824,0.867,0.709,118.818,-8.824,0.0453,0.207,0.000307,0.0888
7Lk83uozmGWre1q8eyOOUP,0.497,0.585,0.749,95.818,-12.609,0.105,0.41,0.0499,0.0504
31H6au3jhblhr6MMJiXnCq,0.549,0.552,0.712,109.882,-9.484,0.0254,0.011,0.0,0.118
1uvyZBs4IZYRebHIB1747m,0.452,0.179,0.373,113.212,-10.417,0.0321,0.0354,0.00227,0.689
1nQRg9q9uwALGzouOX5OyQ,0.502,0.66,0.744,112.344,-7.719,0.0359,0.183,0.000228,0.189
3oEkrIfXfSh9zGnE7eBzSV,0.788,0.52,0.454,126.15,-6.748,0.0371,0.574,0.000766,0.0859
37ZJ0p5Jm13JPevGcx4SkF,0.887,0.794,0.532,122.509,-3.757,0.0335,0.0778,0.000206,0.294
0GTK6TesV108Jj5D3MHsYb,0.798,0.898,0.744,125.059,-5.981,0.0364,0.176,0.0037,0.26
4ByEFOBuLXpCqvO1kw8Wdm,0.726,0.507,0.625,124.945,-11.402,0.0444,0.0158,0.000169,0.0625
2mIrfke7vosXAEWfz6ucyo,0.791,0.856,0.611,140.12,-7.7,0.0286,0.326,0.862,0.217
3PzsbWSQdLCKDLxn7YZfkM,0.446,0.868,0.62,88.591,-14.451,0.0347,0.589,0.0299,0.0727
34x6hEJgGAOQvmlMql5Ige,0.897,0.647,0.544,157.17,-6.056,0.0471,0.241,0.0,0.13
0qi4b1l0eT3jpzeNHeFXDT,0.772,0.919,0.766,128.168,-9.362,0.0353,0.403,0.0584,0.183
0qi4b1l0eT3jpzeNHeFXDT,0.772,0.919,0.766,128.168,-9.362,0.0353,0.403,0.0584,0.183
62LJFaYihsdVrrkgUOJC05,0.271,0.742,0.898,111.485,-12.238,0.091,0.0135,0.00138,0.0461
