id,name,artist,played_at,energy,valence,danceability,tempo,loudness,speechiness,acousticness,instrumentalness,liveness
1Jj6MF0xDOMA3Ut2Z368Bx,Time After Time,Cyndi Lauper,2026-01-23T18:34:33.136Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23M7cQkNJLiddeubvVgaQl,The Wild Boys,Duran Duran,2026-01-23T18:30:29.618Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ctrWrTwgy5xLZA4OWgY5O,Still Loving You - 2015 - Remaster,Scorpions,2026-01-23T18:26:11.499Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7vidktgNZFQylTgH1GEnMs,Cold as Ice,Foreigner,2026-01-23T18:19:42.116Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0X1sqQ652p1sceKM2nJlIJ,Runaway,Bon Jovi,2026-01-23T18:04:23.432Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2RChe0r2cMoyOvuKobZy44,Always,Bon Jovi,2026-01-23T18:00:32.717Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,2026-01-23T17:54:38.784Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,2026-01-23T17:52:44.680Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2huPrhpbAW7MmfEgRu6oDV,I Want It All - Remastered 2011,Queen,2026-01-23T17:50:06.844Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,2026-01-23T17:46:05.282Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4JWNeArR4aYNnOZ0NOIQV5,The First I love You,Kyle Dixon & Michael Stein,2026-01-23T17:41:19.268Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1PtQJZVZIdWIYdARpZRDFO,Running Up That Hill (A Deal With God),Kate Bush,2026-01-23T17:38:52.888Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,Bob Dylan,2026-01-23T17:32:45.002Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gG8GZAscnEI9fqHvcu1QN,DONNE RICCHE - Acoustic Version,TonyPitony,2026-01-23T17:30:10.835Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7mufTLdk3CQw0dKH43QZeu,Sultans Of Swing - Live At The Royal Albert Hall,Mark Knopfler,2026-01-23T17:27:28.679Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6C4LXC9UFH1IKiHYOp0BiJ,Sunday Bloody Sunday - Remastered 2008,U2,2026-01-23T17:14:50.340Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0rmGAIH9LNJewFw7nKzZnc,You Give Love A Bad Name,Bon Jovi,2026-01-23T17:10:11.223Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
